estimated_net,team,efficiency,efficiency_rank,value,value_rank
102,UAB,6.185895791276404,107,1.2166720211543454,83
103,Santa Clara,6.907403064317781,103,0.982756639803052,106
104,Morehead St.,6.0570914624032435,108,1.1447115227309592,87
105,Miami (FL),8.521787535320383,97,0.6697803234579409,139
106,Akron,5.482771145429095,111,1.1823716449240198,85
107,Rutgers,7.626264404592208,102,0.8107607611363717,126
108,High Point,5.617241009276986,110,1.0611317659650377,96
109,Western Caro.,5.416510286158786,113,1.101465703030166,89
110,Hofstra,5.815172360745558,109,0.9784661108116395,107
111,UNI,5.447214555928101,112,1.0281140801095403,100
112,UCLA,6.554802575914382,104,0.5947389718742041,153
113,Charlotte,5.336445643129315,115,0.8664343219198752,114
114,UNCW,4.604332757362192,121,1.069367762016403,95
115,Belmont,4.785968301543819,119,0.9924114227481841,105
116,Arkansas,5.090625579870283,117,0.8218712083501137,121
117,Southern Ill.,5.381428789043189,114,0.6994886854772078,135
118,Stanford,6.267123769929929,106,0.5062197921006191,175
119,UC San Diego,4.402127773687284,123,0.8124548001160585,124
120,Seattle U,5.160249045104458,116,0.5898026341151594,154
121,Colgate,3.6570039890852124,127,0.8546772954972311,116
122,Drexel,4.286167823640346,125,0.8016772873406588,127
123,Oakland,3.07468872300346,136,1.1279802531063772,88
124,Davidson,4.771812900928574,120,0.5669294732995331,158
125,UT Arlington,3.4468821202979063,130,0.8155032067936053,123
126,Georgia Tech,3.461108809859467,129,0.751023601232522,131
127,Youngstown St.,3.3914589350666304,132,0.7259643266014633,132
128,UNC Greensboro,2.6379138808868285,141,1.0364111362683421,98
129,South Dakota St.,3.4209901542856747,131,0.6397273211789714,144
130,Toledo,2.9373614848355585,139,0.8742685472035924,113
131,Oklahoma St.,5.044295287906132,118,0.4238520966552678,201
132,Western Ky.,3.0636030316455214,137,0.7674635960938664,129
133,Notre Dame,4.512842223829074,122,0.44241464072696207,194
134,Chattanooga,2.336172086018064,143,0.8981138252149913,112
135,Troy,3.118685766790457,135,0.6271568798632893,149
136,Liberty,3.19184173681332,134,0.564444092966064,160
137,Ohio,3.1961516124864193,133,0.5529768568778194,165
