season,team,conference,state,score,todisplay,bgcolor,fgcolor
1924,Iowa St.,MVC,Iowa,2,2-14 MVC,#FFFFFF,#000000
1924,Washington,PCC,Washington,12,7-2 PCC,#FFFFFF,#000000
1924,Oregon St.,PCC,Oregon,20,6-2 PCC,#FFFFFF,#000000
1924,Oregon,PCC,Oregon,15,4-4 PCC,#FFFFFF,#000000
1924,Idaho,PCC,Idaho,10,4-6 PCC,#FFFFFF,#000000
1924,Washington St.,PCC,Washington,17,3-7 PCC,#FFFFFF,#000000
1924,Montana,PCC,Montana,7,1-4 PCC,#FFFFFF,#000000
1924,California,PCC,California,14,5-3 PCC,#FFFFFF,#000000
1924,Southern California,PCC,California,15,4-4 PCC,#FFFFFF,#000000
1924,Stanford,PCC,California,10,3-5 PCC,#FFFFFF,#000000
1924,Tulane,SoCon,Louisiana,21,10-0 SoCon,#FFFFFF,#000000
1924,North Carolina,SoCon,North Carolina,26,7-0 SoCon,#FFFFFF,#000000
1924,Georgia,SoCon,Georgia,16,7-0 SoCon,#FFFFFF,#000000
