Game
"NET -15 (Strength -13, Resume -19) Away loss: App State vs. UNCW 61-76 (2024-11-30)"
"NET -17 (Strength -13, Resume -35) Away loss: App State vs. Louisiana 62-68 (2024-12-18)"
"NET -17 (Strength -17, Resume -30) Home loss: App State vs. Miami (OH) 63-77 (2024-11-04)"
"NET +6 (Strength +4, Resume +14) Away win: Arizona vs. West Virginia 75-56 (2025-01-07)"
"NET +5 (Strength +5, Resume +0) Home win: Arizona vs. Central Mich. 94-41 (2024-12-21)"
"NET +3 (Strength +1, Resume +12) Away win: Arizona vs. Cincinnati 72-67 (2025-01-04)"
"NET +2 (Strength +4, Resume +0) Home win: Arizona vs. Old Dominion 102-44 (2024-11-09)"
"NET +2 (Strength +3, Resume +5) Neutral win: Arizona vs. Davidson 104-71 (2024-11-27)"
"NET +2 (Strength +3, Resume +4) Home win: Arizona vs. Samford 96-64 (2024-12-18)"
"NET +2 (Strength +1, Resume +8) Home win: Arizona vs. Baylor 81-70 (2025-01-14)"
"NET +0 (Strength +1, Resume +0) Home win: Arizona vs. Southern Utah 102-66 (2024-12-07)"
"NET +0 (Strength +0, Resume +4) Home win: Arizona vs. TCU 90-81 (2024-12-30)"
"NET +0 (Strength -1, Resume +7) Home win: Arizona vs. UCF 88-80 (2025-01-11)"
"NET -1 (Strength -1, Resume +0) Home win: Arizona vs. Canisius 93-64 (2024-11-04)"
"NET -3 (Strength -1, Resume -1) Away loss: Arizona vs. Wisconsin 88-103 (2024-11-15)"
"NET -3 (Strength -1, Resume -1) Home loss: Arizona vs. Duke 55-69 (2024-11-22)"
"NET -3 (Strength -1, Resume -2) Neutral loss: Arizona vs. West Virginia 76-83 (2024-11-29)"
"NET -3 (Strength -1, Resume -2) Away loss: Arizona vs. Texas Tech 54-70 (2025-01-18)"
"NET -5 (Strength -1, Resume -3) Neutral loss: Arizona vs. Oklahoma 77-82 (2024-11-28)"
"NET -5 (Strength -1, Resume -3) Neutral loss: Arizona vs. UCLA 54-57 (2024-12-14)"
"NET +7 (Strength +8, Resume +4) Home win: Arizona St. vs. Colorado 81-61 (2025-01-04)"
"NET +7 (Strength +4, Resume +15) Neutral win: Arizona St. vs. Saint Mary's (CA) 68-64 (2024-11-29)"
"NET +7 (Strength +4, Resume +13) Neutral win: Arizona St. vs. New Mexico 85-82 (2024-11-28)"
"NET +7 (Strength +4, Resume +11) Neutral win: Arizona St. vs. Santa Clara 81-74 (2024-11-08)"
"NET +5 (Strength +8, Resume +1) Home win: Arizona St. vs. San Diego 90-53 (2024-12-03)"
"NET +4 (Strength +4, Resume +6) Neutral win: Arizona St. vs. Grand Canyon 87-76 (2024-11-14)"
"NET +4 (Strength +4, Resume +4) Home win: Arizona St. vs. St. Thomas (MN) 81-66 (2024-11-17)"
"NET +1 (Strength +2, Resume +2) Neutral win: Arizona St. vs. Massachusetts 78-62 (2024-12-21)"
"NET +0 (Strength +2, Resume -4) Away loss: Arizona St. vs. Gonzaga 80-88 (2024-11-10)"
"NET -1 (Strength +1, Resume -5) Away loss: Arizona St. vs. Cincinnati 60-67 (2025-01-18)"
"NET -1 (Strength +0, Resume +1) Home win: Arizona St. vs. Idaho St. 55-48 (2024-11-05)"
"NET -3 (Strength +0, Resume -2) Neutral loss: Arizona St. vs. Florida 66-83 (2024-12-14)"
"NET -3 (Strength +0, Resume -2) Away loss: Arizona St. vs. Kansas 55-74 (2025-01-08)"
"NET -3 (Strength +0, Resume -11) Home loss: Arizona St. vs. Baylor 66-72 (2025-01-11)"
"NET -3 (Strength -3, Resume +2) Home win: Arizona St. vs. Cal Poly 93-89 (2024-11-20)"
"NET -4 (Strength -3, Resume -8) Home loss: Arizona St. vs. UCF 89-95 (2025-01-14)"
"NET -5 (Strength -3, Resume -6) Away loss: Arizona St. vs. BYU 56-76 (2024-12-31)"
"NET +0 (Strength +0, Resume +1) Home win: Ark.-Pine Bluff vs. Central Ark. 84-78 (2024-12-07)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Alabama St. 91-93 (2025-01-06)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Texas Tech 64-98 (2024-11-18)"
