season,coachid,coach,team,todisplay,score,bgcolor,fgcolor,isseason,conference,state,bordercolor,firstseason,nextyear,w,l,confw,confl,tourneyscore
1924,john-barrett-1,John Barrett,Detroit Mercy,9-8,9,#FFFFFF,#000000,4,Ind,Michigan,black,1924.0,Return,9,8,,,0.0
1925,john-barrett-1,John Barrett,Detroit Mercy,6-6,6,#FFFFFF,#000000,4,Ind,Michigan,black,1924.0,Last,6,6,,,0.0
1986,john-bates-1,John Bates,Coppin St.,7-7 MEAC,10,#FFFFFF,#000000,4,MEAC,Maryland,black,1986.0,Unknown,10,17,7,7,0.0
1987,john-bates-1,John Bates,Coppin St.,?,0,#FFFFFF,#000000,0,MEAC,Maryland,white,1986.0,Last,,,,,
1972,john-bates-1,John Bates,UMES,20-7,20,#FFFFFF,#000000,4,MEAC,Maryland,black,1972.0,Return,20,7,,,0.0
1973,john-bates-1,John Bates,UMES,26-5,26,#FFFFFF,#000000,4,MEAC,Maryland,black,1972.0,Return,26,5,,,0.0
1974,john-bates-1,John Bates,UMES,8-0 MEAC,27,#FFFFFF,#000000,4,MEAC,Maryland,black,1972.0,Left,27,2,8,0,0.0
1975,john-bates-1,John Bates,UMES,Coppin St.,0,#FFFFFF,#000000,0,MEAC,Maryland,white,1972.0,Last,,,,,
1971,john-bayer-1,John Bayer,UNLV,9-5 WCAC,16,#FFFFFF,#000000,4,WCAC,Nevada,black,1971.0,Return,16,10,9,5,0.0
1972,john-bayer-1,John Bayer,UNLV,8-6 WCAC,14,#FFFFFF,#000000,4,WCAC,Nevada,black,1971.0,Return,14,12,8,6,0.0
1973,john-bayer-1,John Bayer,UNLV,6-8 WCAC,13,#FFFFFF,#000000,4,WCAC,Nevada,black,1971.0,Unknown,13,15,6,8,0.0
1974,john-bayer-1,John Bayer,UNLV,?,0,#FFFFFF,#000000,0,WCAC,Nevada,white,1971.0,Last,,,,,
2012,john-becker-1,John Becker,Vermont,"13-3 AEC
NCAA 64",34,#007155,#FFFFFF,4,AEC,Vermont,black,2012.0,Return,24,12,13,3,0.1
2013,john-becker-1,John Becker,Vermont,11-5 AEC,21,#FFFFFF,#000000,4,AEC,Vermont,black,2012.0,Return,21,12,11,5,0.0
2014,john-becker-1,John Becker,Vermont,15-1 AEC,22,#FFFFFF,#000000,4,AEC,Vermont,black,2012.0,Return,22,11,15,1,0.0
2015,john-becker-1,John Becker,Vermont,12-4 AEC,20,#FFFFFF,#000000,4,AEC,Vermont,black,2012.0,Return,20,14,12,4,0.0
2016,john-becker-1,John Becker,Vermont,11-5 AEC,23,#FFFFFF,#000000,4,AEC,Vermont,black,2012.0,Return,23,14,11,5,0.0
2017,john-becker-1,John Becker,Vermont,"16-0 AEC
NCAA 64",39,#007155,#FFFFFF,4,AEC,Vermont,black,2012.0,Return,29,6,16,0,0.1
2018,john-becker-1,John Becker,Vermont,15-1 AEC,27,#FFFFFF,#000000,4,AEC,Vermont,black,2012.0,Return,27,8,15,1,0.0
2019,john-becker-1,John Becker,Vermont,"14-2 AEC
NCAA 64",37,#007155,#FFFFFF,4,AEC,Vermont,black,2012.0,Return,27,7,14,2,0.1
2020,john-becker-1,John Becker,Vermont,"14-2 AEC
Likely AQ",41,#007155,#FFFFFF,4,AEC,Vermont,black,2012.0,Return,26,7,14,2,0.15
2021,john-becker-1,John Becker,Vermont,10-4 AEC,10,#FFFFFF,#000000,4,AEC,Vermont,black,2012.0,Return,10,5,10,4,0.0
2022,john-becker-1,John Becker,Vermont,"17-1 AEC
NCAA 64",38,#007155,#FFFFFF,4,AEC,Vermont,black,2012.0,Return,28,6,17,1,0.1
2023,john-becker-1,John Becker,Vermont,"14-2 AEC
NCAA 64",33,#007155,#FFFFFF,4,AEC,Vermont,black,2012.0,Return,23,11,14,2,0.1
2024,john-becker-1,John Becker,Vermont,"15-1 AEC
NCAA 64",38,#007155,#FFFFFF,4,AEC,Vermont,black,2012.0,Return,28,7,15,1,0.1
2025,john-becker-1,John Becker,Vermont,13-3 AmEast,21,#FFFFFF,#000000,4,AmEast,Vermont,black,2012.0,Return,21,12,13,3,0.0
2026,john-becker-1,John Becker,Vermont,6-1 AmEast,14,#FFFFFF,#000000,4,AmEast,Vermont,black,2012.0,Last,14,8,6,1,0.0
1993,john-beilein-1,John Beilein,Canisius,5-9 MAAC,10,#FFFFFF,#000000,4,MAAC,New York,black,1993.0,Return,10,18,5,9,0.0
1994,john-beilein-1,John Beilein,Canisius,12-2 MAAC,22,#FFFFFF,#000000,4,MAAC,New York,black,1993.0,Return,22,7,12,2,0.0
1995,john-beilein-1,John Beilein,Canisius,10-4 MAAC,21,#FFFFFF,#000000,4,MAAC,New York,black,1993.0,Return,21,14,10,4,0.0
1996,john-beilein-1,John Beilein,Canisius,"7-7 MAAC
NCAA 64",29,#FFBA00,#0C2340,4,MAAC,New York,black,1993.0,Return,19,11,7,7,0.1
1997,john-beilein-1,John Beilein,Canisius,10-4 MAAC,17,#FFFFFF,#000000,4,MAAC,New York,black,1993.0,Left,17,12,10,4,0.0
1998,john-beilein-1,John Beilein,Canisius,Richmond,0,#FFFFFF,#000000,0,MAAC,New York,white,1993.0,Last,,,,,
2020,john-beilein-1,John Beilein,Cavaliers,"14-40 NBA
Resigned",0,#FFFFFF,#000000,2,,,black,,Last,,,,,
2008,john-beilein-1,John Beilein,Michigan,5-13 B1G,10,#FFFFFF,#000000,4,Big Ten,Michigan,black,2008.0,Return,10,22,5,13,0.0
2009,john-beilein-1,John Beilein,Michigan,"9-9 B1G
NCAA 32",36,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Return,21,14,9,9,0.15
2010,john-beilein-1,John Beilein,Michigan,7-11 B1G,15,#FFFFFF,#000000,4,Big Ten,Michigan,black,2008.0,Return,15,17,7,11,0.0
2011,john-beilein-1,John Beilein,Michigan,"9-9 B1G
NCAA 32",36,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Return,21,14,9,9,0.15
2012,john-beilein-1,John Beilein,Michigan,"13-5 B1G
NCAA 64",34,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Return,24,10,13,5,0.1
2013,john-beilein-1,John Beilein,Michigan,"12-6 B1G
Runner-up",66,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Return,31,8,12,6,0.35000000000000003
2014,john-beilein-1,John Beilein,Michigan,"15-3 B1G
Elite 8",53,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Return,28,9,15,3,0.25
2015,john-beilein-1,John Beilein,Michigan,8-10 B1G,16,#FFFFFF,#000000,4,Big Ten,Michigan,black,2008.0,Return,16,16,8,10,0.0
2016,john-beilein-1,John Beilein,Michigan,"10-8 B1G
NCAA 64",33,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Return,23,13,10,8,0.1
2017,john-beilein-1,John Beilein,Michigan,"10-8 B1G
Sweet 16",46,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Return,26,12,10,8,0.2
2018,john-beilein-1,John Beilein,Michigan,"13-5 B1G
Runner-up",68,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Return,33,8,13,5,0.35000000000000003
2019,john-beilein-1,John Beilein,Michigan,"15-5 B1G
Sweet 16",50,#00274C,#FFCB05,4,Big Ten,Michigan,black,2008.0,Left,30,7,15,5,0.2
2020,john-beilein-1,John Beilein,Michigan,Cleveland Cavaliers,0,#FFFFFF,#000000,0,Big Ten,Michigan,white,2008.0,Last,,,,,
1998,john-beilein-1,John Beilein,Richmond,"12-4 CAA
NCAA 32",38,#000066,#FFFFFF,4,CAA,Virginia,black,1998.0,Return,23,8,12,4,0.15
1999,john-beilein-1,John Beilein,Richmond,10-6 CAA,15,#FFFFFF,#000000,4,CAA,Virginia,black,1998.0,Return,15,12,10,6,0.0
2000,john-beilein-1,John Beilein,Richmond,11-5 CAA,18,#FFFFFF,#000000,4,CAA,Virginia,black,1998.0,Return,18,12,11,5,0.0
2001,john-beilein-1,John Beilein,Richmond,12-4 CAA,22,#FFFFFF,#000000,4,CAA,Virginia,black,1998.0,Return,22,7,12,4,0.0
2002,john-beilein-1,John Beilein,Richmond,11-5 A10,22,#FFFFFF,#000000,4,A-10,Virginia,black,1998.0,Left,22,14,11,5,0.0
2003,john-beilein-1,John Beilein,Richmond,West Virginia,0,#FFFFFF,#000000,0,A-10,Virginia,white,1998.0,Last,,,,,
2003,john-beilein-1,John Beilein,West Virginia,5-11 BE,14,#FFFFFF,#000000,4,Big East,West Virginia,black,2003.0,Return,14,15,5,11,0.0
2004,john-beilein-1,John Beilein,West Virginia,7-9 BE,17,#FFFFFF,#000000,4,Big East,West Virginia,black,2003.0,Return,17,14,7,9,0.0
2005,john-beilein-1,John Beilein,West Virginia,"8-8 BE
Elite 8",49,#002855,#EAAA00,4,Big East,West Virginia,black,2003.0,Return,24,11,8,8,0.25
2006,john-beilein-1,John Beilein,West Virginia,"11-5 BE
Sweet 16",42,#002855,#EAAA00,4,Big East,West Virginia,black,2003.0,Return,22,11,11,5,0.2
2007,john-beilein-1,John Beilein,West Virginia,9-7 BE,27,#FFFFFF,#000000,4,Big East,West Virginia,black,2003.0,Left,27,9,9,7,0.0
2008,john-beilein-1,John Beilein,West Virginia,Michigan,0,#FFFFFF,#000000,0,Big East,West Virginia,white,2003.0,Last,,,,,
1917,john-bender-1,John Bender,Tennessee,10-5,10,#FFFFFF,#000000,4,Ind,Tennessee,black,1917.0,Return,10,5,,,0.0
1920,john-bender-1,John Bender,Tennessee,11-3,11,#FFFFFF,#000000,4,Ind,Tennessee,black,1920.0,Return,11,3,,,0.0
1921,john-bender-1,John Bender,Tennessee,8-7,8,#FFFFFF,#000000,4,Southern,Tennessee,black,1920.0,Last,8,7,,,0.0
1908,john-bender-1,John Bender,Washington St.,12-3,12,#FFFFFF,#000000,4,Ind,Washington,black,1908.0,Last,12,3,,,0.0
1957,john-benington-1,John Benington,Drake,4-10 MVC,8,#FFFFFF,#000000,4,MVC,Iowa,black,1957.0,Return,8,16,4,10,0.0
1958,john-benington-1,John Benington,Drake,7-7 MVC,13,#FFFFFF,#000000,4,MVC,Iowa,black,1957.0,Left,13,12,7,7,0.0
1959,john-benington-1,John Benington,Drake,Saint Louis,0,#FFFFFF,#000000,0,MVC,Iowa,white,1957.0,Last,,,,,
1966,john-benington-1,John Benington,Michigan St.,10-4 B1G,15,#FFFFFF,#000000,4,Big Ten,Michigan,black,1966.0,Return,15,7,10,4,0.0
1967,john-benington-1,John Benington,Michigan St.,10-4 B1G,16,#FFFFFF,#000000,4,Big Ten,Michigan,black,1966.0,Return,16,7,10,4,0.0
1968,john-benington-1,John Benington,Michigan St.,6-8 B1G,12,#FFFFFF,#000000,4,Big Ten,Michigan,black,1966.0,Return,12,12,6,8,0.0
1969,john-benington-1,John Benington,Michigan St.,6-8 B1G,11,#FFFFFF,#000000,4,Big Ten,Michigan,black,1966.0,Health,11,12,6,8,0.0
1970,john-benington-1,John Benington,Michigan St.,Health,0,#FFFFFF,#000000,0,Big Ten,Michigan,white,1966.0,Last,,,,,
1959,john-benington-1,John Benington,Saint Louis,10-4 MVC,20,#FFFFFF,#000000,4,MVC,Missouri,black,1959.0,Return,20,6,10,4,0.0
1960,john-benington-1,John Benington,Saint Louis,9-5 MVC,19,#FFFFFF,#000000,4,MVC,Missouri,black,1959.0,Return,19,8,9,5,0.0
1961,john-benington-1,John Benington,Saint Louis,7-5 MVC,21,#FFFFFF,#000000,4,MVC,Missouri,black,1959.0,Return,21,9,7,5,0.0
1962,john-benington-1,John Benington,Saint Louis,5-7 MVC,11,#FFFFFF,#000000,4,MVC,Missouri,black,1959.0,Return,11,15,5,7,0.0
1963,john-benington-1,John Benington,Saint Louis,6-6 MVC,16,#FFFFFF,#000000,4,MVC,Missouri,black,1959.0,Return,16,12,6,6,0.0
1964,john-benington-1,John Benington,Saint Louis,6-6 MVC,13,#FFFFFF,#000000,4,MVC,Missouri,black,1959.0,Return,13,12,6,6,0.0
1965,john-benington-1,John Benington,Saint Louis,9-5 MVC,18,#FFFFFF,#000000,4,MVC,Missouri,black,1959.0,Left,18,9,9,5,0.0
1966,john-benington-1,John Benington,Saint Louis,Michigan St.,0,#FFFFFF,#000000,0,MVC,Missouri,white,1959.0,Last,,,,,
1975,john-birkett-1,John Birkett,Northern Ariz.,5-9 BSky,9,#FFFFFF,#000000,4,Big Sky,Arizona,black,1975.0,Return,9,17,5,9,0.0
